"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,"10,66,27,427",,"11,59,824",,"10,45,49,551",,"9,18,052","1,368","3,18,476","3,464","1,17,68,34,935","35,14,983","33,48,05,269"
India,"4,49,39,515",,"5,31,508",,"4,43,56,693",,"51,314",N/A,"31,948",378,"92,64,96,579","6,58,663","1,40,66,31,776"
France,"3,99,80,570",,"1,66,556",,"3,96,77,000",,"1,37,014",869,"6,09,604","2,540","27,14,90,188","41,39,547","6,55,84,518"
Germany,"3,84,03,667",,"1,73,044",,"3,81,92,900",600,"37,723",N/A,"4,57,821","2,063","12,23,32,384","14,58,359","8,38,83,596"
Brazil,"3,74,49,418",,"7,01,494",,"3,62,49,161",,"4,98,763",N/A,"1,73,897","3,257","6,37,76,166","2,96,146","21,53,53,593"
Japan,"3,37,00,970",,"74,501",,"2,17,25,273",,"1,19,01,196",46,"2,68,352",593,"9,99,84,094","7,96,148","12,55,84,838"
S. Korea,"3,11,57,272","14,411","34,474",3,"3,08,96,033","12,433","2,26,765",141,"6,07,000",672,"1,58,04,065","3,07,892","5,13,29,899"
Italy,"2,57,88,387",,"1,89,738",,"2,54,68,617",,"1,30,032",100,"4,27,932","3,149","27,14,49,155","45,04,425","6,02,62,770"
UK,"2,45,55,629",,"2,21,943",,"2,43,10,623","2,324","23,063",N/A,"3,58,487","3,240","52,25,26,476","76,28,357","6,84,97,907"
Russia,"2,28,39,878",,"3,98,239",,"2,22,36,983",,"2,04,656",N/A,"1,56,646","2,731","27,34,00,000","18,75,095","14,58,05,947"
Turkey,"1,72,32,066",,"1,02,174",,N/A,N/A,N/A,,"2,01,399","1,194","16,27,43,369","19,02,052","8,55,61,976"
Spain,"1,38,25,052",,"1,20,715",,"1,36,65,628",,"38,709",231,"2,95,918","2,584","47,10,36,328","1,00,82,298","4,67,19,142"
Vietnam,"1,15,57,969",,"43,188",,"1,06,20,576",,"8,94,205",62,"1,16,802",436,"8,58,26,548","8,67,342","9,89,53,541"
Australia,"1,14,41,894",,"20,272",,"1,13,94,719",,"26,903",61,"4,38,912",778,"7,88,35,048","30,24,116","2,60,68,792"
Taiwan,"1,02,39,998",,"19,005",,"1,02,20,993",,0,,"4,28,656",796,"3,07,42,304","12,86,903","2,38,88,595"
Argentina,"1,00,44,957",,"1,30,472",,"99,14,485",,0,363,"2,18,320","2,836","3,57,16,069","7,76,264","4,60,10,234"
Netherlands,"86,10,372",,"22,992",,"85,86,242",255,"1,138",53,"5,00,270","1,336","2,59,84,435","15,09,718","1,72,11,447"
Iran,"76,06,689",,"1,46,005",,"73,42,490",,"1,18,194",407,"88,426","1,697","5,53,53,767","6,43,478","8,60,22,837"
Mexico,"75,83,417",,"3,33,876",,"68,28,311",,"4,21,230",N/A,"57,641","2,538","1,99,03,879","1,51,288","13,15,62,772"
Indonesia,"67,71,072",,"1,61,258",,"65,97,965",,"11,849",N/A,"24,257",578,"11,41,58,919","4,08,975","27,91,34,505"
Poland,"65,13,550",,"1,19,551",,"53,35,940",,"10,58,059",696,"1,72,591","3,168","3,86,59,837","10,24,379","3,77,39,785"
Colombia,"63,64,636",,"1,42,713",,"61,87,047",,"34,876",342,"1,23,555","2,770","3,69,51,507","7,17,327","5,15,12,762"
Austria,"60,64,193",,"22,369",,"60,29,908",,"11,916",55,"6,68,842","2,467","21,12,73,524","2,33,02,116","90,66,710"
Greece,"59,99,934",,"36,711",,"59,51,126","3,015","12,097",115,"5,81,578","3,558","10,22,28,365","99,09,078","1,03,16,637"
Portugal,"55,80,792",,"26,550",,"55,48,480",,"5,762",61,"5,50,343","2,618","4,60,82,209","45,44,341","1,01,40,570"
Ukraine,"55,18,614",,"1,12,023",,"53,72,913",,"33,678",,"1,27,769","2,594","3,26,03,805","7,54,855","4,31,92,122"
Chile,"52,83,617",,"64,497",,"52,17,926",,"1,194",56,"2,74,471","3,350","4,93,75,779","25,64,950","1,92,50,195"
Malaysia,"50,66,877",,"37,011",,"50,15,705",,"14,161",14,"1,52,704","1,115","6,83,44,917","20,59,756","3,31,81,072"
Israel,"48,21,234",,"12,484",,"47,98,473",,"10,277",21,"5,16,967","1,339","4,13,73,364","44,36,346","93,26,000"
Belgium,"47,93,425",,"34,237",,"47,41,299",,"17,889",43,"4,10,808","2,934","3,70,18,657","31,72,590","1,16,68,278"
DPRK,"47,72,813",,74,,"47,72,739",,0,,"1,83,636",3,,,"2,59,90,679"
Thailand,"47,30,490",,"33,947",,"46,92,636",,"3,907",N/A,"67,503",484,"1,72,70,775","2,46,450","7,00,78,203"
Canada,"46,41,301",,"52,247",,"45,78,373","1,220","10,681",99,"1,20,904","1,361","6,63,43,123","17,28,207","3,83,88,419"
Czechia,"46,40,168",,"42,761",,"45,94,361",,"3,046",11,"4,32,175","3,983","5,71,75,790","53,25,225","1,07,36,784"
Peru,"45,01,130",,"2,20,122",,"42,77,138",364,"3,870",27,"1,33,627","6,535","3,85,21,551","11,43,609","3,36,84,208"
Switzerland,"44,01,379",,"14,452",,"43,83,180",,"3,747",39,"5,01,660","1,647","2,38,33,472","27,16,487","87,73,637"
Philippines,"40,91,854",,"66,444",,"40,20,117",,"5,293",162,"36,369",591,"3,50,04,687","3,11,128","11,25,08,994"
South Africa,"40,76,463",,"1,02,595",,"39,12,506",,"61,362",192,"67,095","1,689","2,67,95,090","4,41,027","6,07,56,135"
Romania,"33,87,788",,"68,047",,"33,12,844",,"6,897",120,"1,78,011","3,576","2,72,42,332","14,31,446","1,90,31,335"
Denmark,"31,80,458",,"8,542",,"31,70,942",,974,19,"5,45,070","1,464","12,92,65,171","2,21,53,604","58,34,950"
Hong Kong,"28,90,048",,"13,527",,"28,70,895",,"5,626",28,"3,80,054","1,779","7,61,27,725","1,00,11,143","76,04,299"
Sweden,"27,06,137",,"24,087",,"26,78,124",183,"3,926",8,"2,64,815","2,357","1,95,00,873","19,08,301","1,02,18,971"
